    3   26       0.18499       2.06458       0.24560       1.59040       2.39860       0.24649       1.71227       0.55372       0.65801       1.83114       0.42826       1.65699       1.50636       0.15014       1.14370       0.12504
    3   28       0.26221       1.86041       0.63515       1.02926       2.78880       0.32841       2.40328       0.24926       0.40194       1.26591       0.46016       0.71713       2.22927       0.59350       2.18679       0.19489
    3   34       2.47598       8.75861       3.19007       7.56571       0.24095       2.47119       0.22364       2.04725       2.20535       7.73105       2.60786       6.85627       0.17021       3.24227       0.49212       2.47278
    3   36       2.04014       8.02023       2.91842       6.70061       0.07030       2.07820       0.37149       1.36882       1.46887       6.63836       2.02557       5.56890       0.29889       3.20580       0.94275       2.20964
    3   43       2.34894       8.65185       3.08571       7.32621       0.06600       2.33345       0.18294       1.73517       1.82839       7.31549       2.21080       6.35461       0.20433       3.36322       0.67733       2.40235
    3   45       2.18736       8.31960       3.30338       6.78971       0.16975       2.31733       0.65227       1.43166       1.35575       6.63801       2.10891       5.47204       0.62142       3.69317       1.46066       2.44119
    3  114       2.07936       0.48964       1.14393       1.01339       7.70075       2.05450       5.97672       3.38683       3.17223       0.89255       1.91826       1.71578       6.03539       1.17080       4.65665       2.17109
    3  115       2.13176       0.05075       1.44261       0.36551       8.25104       2.14820       6.83911       3.19530       3.20628       0.37227       2.16351       1.04679       6.64472       1.36818       5.58039       2.05612
    3  116       2.16368       0.08668       1.47457       0.35962       8.11715       2.00358       6.69674       3.01227       2.90872       0.16745       1.95355       0.68805       6.78439       1.43994       5.66907       2.16052
    3  117       2.59940       0.22577       2.21243       0.18224       9.05937       2.63849       7.93193       3.33930       3.34194       0.18521       2.59224       0.49928       7.77943       2.21849       7.01501       2.55628
    3  118       2.98621       0.53321       2.67924       0.55170       9.29503       2.82119       8.21026       3.56350       3.39443       0.27751       2.77772       0.54624       8.29931       2.58537       7.55211       3.03692
    4    5       0.40204       1.89215       0.50208       1.31456       2.63518       0.23061       2.10657       0.32172       0.30079       1.10802       0.14694       0.82341       2.43945       0.67126       2.05045       0.57457
    4    6       0.44542       2.21385       0.99907       1.31163       2.54112       0.36399       2.35050       0.26157       0.22096       1.30265       0.41094       0.74731       2.25913       0.82069       2.42408       0.35535
    4   11       0.22723       2.85297       0.41108       2.28262       1.68689       0.40580       1.21183       0.45657       0.58361       2.48599       0.46795       2.20989       0.92193       0.30610       0.64232       0.16868
    4   13       0.15851       2.42607       0.65322       1.52321       2.03407       0.43148       1.92545       0.20052       0.16082       1.74047       0.38766       1.14858       1.52888       0.54608       1.57355       0.10392
    4   36       2.39869       8.29353       3.13002       6.96526       0.29566       2.30172       0.47017       1.60667       1.82602       6.88945       2.19773       5.90598       0.70010       3.50958       1.18878       2.46424
    4   42       3.39089      10.12266       3.97853       9.21180       0.64678       3.40699       0.48436       3.20379       3.22088       9.18499       3.45463       8.64145       0.49978       4.03687       0.70459       3.48938
    4   43       2.53242       8.67292       2.98121       7.66377       0.21342       2.43442       0.11293       2.06709       2.19137       7.55022       2.32630       6.84134       0.32503       3.27354       0.44588       2.70828
    4   44       2.51824       8.97777       3.32349       7.68979       0.11377       2.63114       0.24734       2.05673       2.02488       7.69318       2.45846       6.76902       0.20327       3.48352       0.68334       2.57320
    4   45       2.09694       8.02615       2.87215       6.78805       0.06730       2.13333       0.29910       1.46809       1.40913       6.52335       1.89349       5.60941       0.44041       3.25445       0.85284       2.35876
    4  116       2.02260       0.08941       1.34579       0.32523       7.87224       1.93207       6.44317       2.93001       3.07057       0.39585       2.03365       0.97821       6.49197       1.33946       5.42957       1.97629
    4  118       2.53342       0.17216       2.13574       0.15587       8.76645       2.43342       7.60333       3.16765       3.20885       0.13970       2.45427       0.47381       7.66154       2.06504       6.82784       2.43499
