 m n lenL1 lenS1 Hright1 Hleft1 Area1 CosA1 lenL2 lenS2 Hright2 Hleft2 Area2 CosA2 Dcen Datom Dcenp1 Dcenp2 CosL CosS CosN CosO AreaPJ
    2 1651    1.41017    1.12301    0.26706    1.17219    0.93742    0.99789    1.39228    1.09766    0.26769    1.14086    0.92607    0.97230    1.34897    0.26140    0.61817   -0.76744   -0.29446   -0.04288   -0.18887    0.07180    0.08092
    2 1674    1.41017    1.12301    0.26706    1.17219    0.93742    0.99789    1.38516    1.10822    0.24813    1.13783    0.91524    0.77870    1.36071    0.25170    0.75830   -0.01734    0.07223    0.57388    0.07395    0.15785    0.00710
    2 1769    1.41017    1.12301    0.26706    1.17219    0.93742    0.99789    1.41519    1.11046    0.24320    1.13130    0.94342    0.97711    0.91372    0.21079   -0.43253   -0.72576   -0.47823   -0.96530    0.05529   -0.26228   -0.04668
    2 1993    1.41017    1.12301    0.26706    1.17219    0.93742    0.99789    1.36731    1.10048    0.26602    1.13188    0.92868    0.93760    0.79689    0.28234    0.06419   -0.44213   -0.47737   -0.90027    0.19324   -0.89009   -0.10088
    3   14    1.40871    1.08338    0.26311    1.12742    0.92017    0.99993    1.39591    1.09585    0.27167    1.14823    0.91804    0.84851    0.59316    0.22188   -0.05545   -0.50913    0.98973    0.90494    0.11584    0.34768    0.12392
    3   58    1.40871    1.08338    0.26311    1.12742    0.92017    0.99993    1.41369    1.09592    0.25149    1.12730    0.93133    0.98322    1.29985    0.30846   -0.73925   -0.17867    0.49419   -0.45019    0.04561   -0.63138    0.03209
    3   90    1.40871    1.08338    0.26311    1.12742    0.92017    0.99993    1.38358    1.06496    0.26459    1.10855    0.89864    0.99683    0.60834    0.24448    0.16387   -0.40461    0.95696    0.56509   -0.08223   -0.81455   -0.08455
    3  121    1.40871    1.08338    0.26311    1.12742    0.92017    0.99993    1.40233    1.10242    0.24281    1.11651    0.94277    0.99773    1.36398    0.26894   -0.68387   -0.65703    0.40997   -0.45533    0.00065   -0.52142    0.00046
    3  404    1.40871    1.08338    0.26311    1.12742    0.92017    0.99993    1.41631    1.10888    0.27763    1.15766    0.95553    0.99132    1.49227    0.29903    0.36075   -0.64647   -0.71586   -0.77573   -0.19258    0.75596    0.20078
    3  507    1.40871    1.08338    0.26311    1.12742    0.92017    0.99993    1.40644    1.07994    0.27137    1.13596    0.91013    0.98592    1.05507    0.21293   -0.90415   -0.19029    0.52874   -0.23768    0.18805   -0.27777    0.11302
