m n xshort ynoraml zshort anglelong angleshort anglenormal
    6  539   -0.11619    0.38507    1.47705    0.43727    0.98023    1.04345
    6  642   -0.53647    0.50972    1.30431    1.16696    1.31785    1.57216
    6  666   -0.11844    0.36702    1.40950    0.16424    1.84254    1.84840
    6  931    1.00006    0.26899    0.15550    1.78091    1.18059    1.61595
    6 1017   -1.09943    0.23370    0.36865    2.05755    0.60980    2.17491
    6 1118    0.53344    0.13648    0.09862    0.23341    2.09122    2.10532
    6 1199   -0.31557    0.28478    0.73512    2.99043    2.25421    0.88332
    6 1213   -1.05259    0.59669    0.59550    1.76206    2.08230    1.23252
    6 1282   -0.06900    0.77972    0.86047    1.92705    0.83428    1.81888
    6 1289    0.14525    0.53456    0.24859    3.02503    2.08376    1.06472
    6 1303    0.10332    0.29524    1.57738    0.37438    2.07868    2.11348
    6 1594   -0.79236    0.59301    0.12793    1.75189    0.59487    1.90496
    6 1954   -0.17959    0.52187    0.16778    0.14396    1.39091    1.40141
    7   57    0.15304    0.38229    0.94483    1.50012    1.32590    1.72504
    7  132   -0.47917    0.28299    0.03193    0.23382    2.93863    3.02355
    7  440    0.90671    0.44886    0.06296    2.99611    1.93860    1.20894
    7  566   -0.11240    0.47066    0.02466    2.80385    1.01365    2.17900
    7  567   -0.00494    0.12963    0.95210    1.38620    1.81884    1.96310
    7  879    0.19941    0.04097    1.24926    1.88941    2.03225    1.70923
    7 1113    0.33046    0.34065    0.87313    1.60809    1.24728    2.02213
    7 1451    0.51414    0.20565    0.21248    2.99462    1.25110    1.89781
    7 1578   -0.45771    0.16864    0.10686    0.06068    0.80245    0.80098
    7 1659    0.02738    0.52214    0.12229    2.91772    2.18732    0.98093
    7 1714    0.71324    0.12251    1.23738    1.90976    0.77796    1.74415
    7 1827   -0.57607    0.33099    0.40814    2.89073    0.95309    2.21363
    8   45   -0.39445    0.24547    0.06083    0.12358    0.77002    0.78044
    8  331   -0.75010    0.72058    1.26154    2.07933    1.55826    1.89985
    8  355   -0.36847    0.30400    0.02892    0.05335    0.78304    0.78282
    8  566   -0.08721    0.30932    1.01161    2.05807    1.31472    1.29530
    8  705    0.15076    0.61338    0.88626    2.17003    1.11910    2.41768
    8  780    0.61164    0.17204    0.06527    3.01817    2.84723    0.31686
    8  956    0.34324    0.43253    0.83300    1.36227    0.36679    1.42982
    8 1171    1.24307    0.20141    0.79567    1.56704    0.75763    1.81557
    8 1231    0.05185    0.20519    1.28819    1.93493    2.14957    0.73581
    8 1242    0.17721    0.45273    0.18946    2.86593    0.82303    2.36394
    8 1428    0.11626    0.42954    0.36930    0.22547    2.55566    2.60174
    8 2053    0.54020    0.20367    0.28620    2.99027    3.08349    0.15964
    9  119    0.49597    0.24837    0.05043    0.26079    2.81965    2.94506
    9  177    0.61650    0.00509    0.94422    1.19676    1.92823    2.79953
    9  317   -0.46064    0.20860    0.09111    3.05014    2.56129    0.57286
    9  329    0.56645    0.30056    1.56595    0.38339    2.73262    2.84178
    9  445   -0.56317    0.53235    0.96389    1.79281    1.66275    1.23301
    9  617    0.06937    0.07312    1.58404    2.87713    2.82681    0.39591
    9  677    0.54567    0.68579    0.73143    0.96864    1.02491    0.92288
    9  779   -0.66905    0.21726    1.46728    0.42315    0.92865    1.03399
    9  803   -0.11831    0.35707    1.50220    0.27846    0.31843    0.33872
    9  861   -0.60286    0.20625    0.09891    2.80212    0.33473    2.99928
    9  893    0.40219    0.21592    0.14863    2.87457    0.89858    2.28524
    9 1067   -0.06931    0.48871    0.07089    2.87694    1.00181    2.16968
    9 1198    0.17749    0.50678    0.00540    0.45541    2.10045    2.22207
   10   36    0.27662    0.23468    1.12890    1.43804    1.45263    2.08156
   10  158   -0.64829    0.10515    0.11064    3.06006    2.90093    0.23163
   10  308   -0.77540    0.08201    0.80404    2.08206    1.86459    1.46134
   10  389    0.43244    0.41859    0.78586    1.81974    1.26353    1.19359
   10  530   -0.14039    0.35094    0.15784    0.26845    2.85802    3.05006
   10  724    0.60619    0.06277    0.06043    0.09502    0.82309    0.82869
   10 1070   -0.13206    0.44292    1.29050    1.24326    1.24201    0.67880
   10 1096   -0.76701    0.47582    0.49627    2.93364    0.31952    2.80776
   10 1201   -0.33403    0.35684    0.09193    0.14776    0.76284    0.77676
   10 1224   -0.35511    0.56390    0.09893    3.12788    2.75443    0.38710
   10 1313   -0.19352    0.42443    0.09322    0.12633    0.47142    0.48835
   10 1957    0.50373    0.08835    1.10654    1.86857    1.79542    1.05952
   11   30    1.04840    0.03069    0.35581    1.55910    2.74368    1.66070
   11   52   -0.48366    0.14866    0.00580    0.25216    1.85222    1.88151
   11  126    0.44077    0.30008    1.55615    2.68749    0.44480    3.02683
   11  162   -0.10959    0.48886    0.09985    2.92773    1.98739    1.17189
   11  176   -0.48271    0.16385    0.36594    2.85426    1.51087    1.66616
   11  202   -0.71198    0.14185    0.87941    1.42154    0.35899    1.47984
   11  276    0.09934    0.00260    1.74828    2.95546    2.17978    0.95536
   11  568   -0.21591    0.58162    0.17067    0.25123    1.30551    1.33790
   11  583    0.20482    0.35657    0.04002    2.80293    0.55054    2.70412
   11  844   -0.32190    0.55470    1.11870    1.93048    2.08514    1.50544
   11 1237   -0.50496    0.17374    1.48805    0.33356    1.25822    1.28562
   11 1344    0.96903    0.04986    1.46128    0.19995    0.10007    0.18455
   11 1375    0.32460    0.36376    0.38933    0.36698    2.45947    2.57105
   11 1643    0.19705    0.20874    1.07430    1.43678    0.18794    1.44120
   11 1883    0.63001    0.35342    0.70716    1.72246    0.21918    1.74346
   12  129   -0.74532    0.63192    0.82771    1.19696    1.90074    1.63136
   12  171   -0.36515    0.19447    1.38984    2.74798    1.85076    1.29991
   12  216   -0.05237    0.54289    0.09337    0.26255    1.94675    1.98344
   12  241    0.97913    0.09902    1.03847    1.43445    2.02193    2.09150
   12  278    0.95960    0.27892    0.06974    0.19293    2.94540    3.10467
   12  501   -0.91498    0.24290    0.50062    1.44636    1.92562    2.16994
   12  508    0.48895    0.30532    0.22166    2.79298    2.33187    0.87590
   12  511   -0.25052    0.73263    0.84077    1.81483    0.31187    1.76562
   12  608    0.25201    1.15515    0.82148    1.49588    0.16447    1.50438
   12  907   -0.53730    0.40837    1.10947    1.80182    1.86926    0.39920
   12 1069    0.47688    0.22013    0.01462    0.41693    2.70597    2.89160
   12 1221    0.12084    0.08393    1.61316    2.79378    2.93737    0.30560
   12 1387    0.25797    0.34279    1.55830    2.75657    0.43250    2.66625
   12 1697   -1.01086    0.04129    0.06126    1.48716    1.50900    0.27422
   12 1708    1.10009    0.14808    0.43677    1.81332    1.46837    2.13901
   12 1801   -0.04693    0.56718    0.29040    2.89100    0.94225    2.20730
   12 1832    0.47825    0.04054    1.04739    1.68775    1.82881    0.54249
