    1    2    2556.00000    2343.30249    1808.25122    1183.76526     674.94415     356.63840     190.19627     105.74574      59.98675      37.85365      30.80066      28.23558    23.49741    17.23543    12.54844    10.03200     8.25942     6.33355     4.26752     1.92724    -1.09580    -4.81609    -8.74956   -12.32034   -14.91397   -15.70031   -13.95212    -9.71204    -3.96051     1.90416     6.60569     9.15391
    1    3    2556.00000    2304.26831    1695.36499    1037.86377     560.06342     301.63583     186.17439     132.72954      99.13934      72.12931      50.80797      36.34299    26.84879    19.17009    12.49816     7.38378     3.36544    -0.21961    -3.01509    -4.73011    -6.00482    -7.51691    -9.33669   -11.24162   -12.62832   -12.24095    -9.09878    -3.96321     0.76055     3.03413     3.03468     2.72551
    1    7    2556.00000    2313.42554    1720.16406    1066.45374     579.51929     310.76028     189.60136     132.61421      96.41685      69.15205      49.10151      35.17783    25.48789    18.12645    12.20813     7.46951     3.29388    -0.72738    -3.95527    -5.74732    -6.76363    -8.15185   -10.00678   -11.53576   -12.20157   -11.85184   -10.08285    -6.32172    -0.71393     5.31465     9.54769    10.32070
    1    8    2556.00000    2332.27173    1776.39270    1142.30383     640.54938     335.52133     179.94633     104.26527      66.20502      47.79484      39.14529      33.08428    26.37641    19.39618    13.85233    10.62524     8.88803     7.02834     4.24559     0.83728    -2.79739    -6.68543   -10.80662   -14.59869   -16.97587   -16.70728   -13.16767    -7.15059    -0.72512     4.13991     6.79214     7.62534
    1   26    2556.00000    2333.84424    1784.63684    1162.36511     669.82733     363.03680     196.03816     107.96374      62.17479      40.12747      30.24761      25.34808    21.67800    17.60355    13.37823    10.17774     8.15744     6.26780     3.79419     0.91497    -2.08259    -5.21666    -8.49082   -11.59387   -13.83150   -14.32207   -12.53921    -8.69961    -3.54667     1.96671     6.60418     8.91810
    1   32    2556.00000    2339.01416    1794.80212    1163.57080     654.44434     340.68188     179.89842     100.28346      58.58492      39.77542      34.64848      32.27882    26.64552    19.38761    14.15242    11.57588    10.02752     8.25397     5.87123     2.62036    -1.60086    -6.33391   -10.81663   -14.44738   -16.69503   -16.87955   -14.50842    -9.80109    -3.65849     2.76594     8.21618    11.28338
    1   33    2556.00000    2026.53406    1152.10217     679.58575     457.26614     313.18289     225.50450     161.44560     118.40864      87.03046      64.43467      47.27324    33.39433    23.06925    14.79456     8.92400     3.86877    -0.01179    -3.17731    -6.01405    -8.15729    -9.99223   -11.38620   -12.59866   -13.50814   -12.95580   -10.17238    -5.49369    -0.63054     3.39074     6.13466     7.02172
    1   34    2556.00000    2035.86267    1180.05823     715.55676     487.70203     335.50790     239.82170     168.13109     118.34642      82.42934      58.24359      41.37306    28.82351    19.93217    13.31069     8.84008     4.62283     0.99706    -2.39767    -5.44537    -8.03455   -10.20425   -11.79084   -13.16152   -13.90949   -14.07396   -11.78007    -4.51444     2.05870     2.88188     3.48436     6.62549
    1   40    2556.00000    1987.57300    1115.55042     697.07739     485.53284     335.05185     235.95547     166.25978     119.54132      83.20645      58.08687      40.53055    29.44143    20.69711    13.90447     8.81796     5.11103     1.92432    -1.72810    -5.04941    -7.71848    -9.65014   -11.39280   -13.23374   -14.07935   -12.50645   -10.11938    -8.13345    -3.12726     3.13307     7.59447     9.96619
    1   41    2556.00000    1981.11353    1112.53223     705.08527     494.07153     342.12933     241.35136     169.99181     121.36160      83.60400      57.42415      39.52607    28.52294    19.79969    13.17654     8.30863     4.84346     1.53355    -2.07143    -5.28528    -7.90620    -9.92320   -11.81037   -13.45892   -14.29018   -13.69112   -11.05206    -5.99887    -0.16058     3.51899     6.14418     7.88782
    1   43    2556.00000    1989.40674    1094.93567     658.39709     461.64078     325.89801     237.41431     170.93535     123.77136      86.27109      59.84253      41.80996    29.81884    20.95209    14.01830     9.14881     5.33161     2.07912    -1.44196    -4.76305    -7.39778    -9.30763   -11.55048   -13.59354   -14.41884   -13.44086   -11.03640    -8.47275    -2.85102     6.41763    10.25191     6.66623
    1  113    2556.00000    2005.10706    1134.03369     695.10760     480.33786     332.46207     236.98451     167.42822     120.13438      83.80334      58.50512      40.77147    28.95459    20.35513    13.73547     8.83829     4.96807     1.69601    -1.84449    -5.13534    -7.89513    -9.82141   -11.51945   -13.23565   -14.62150   -14.21447    -9.40273    -4.29909    -3.33496     0.87412     9.22039    11.88923
    1  114    2556.00000    2029.77393    1175.14722     719.23389     491.32147     336.57275     237.86061     164.61693     114.71748      79.03826      55.43348      39.12015    27.78191    19.86708    13.79231     9.37814     5.53329     2.36648    -1.04757    -4.29893    -6.91968    -9.03170   -10.88909   -12.68869   -13.94161   -13.89466   -11.26695    -6.22327    -1.18699     3.49199     6.50711     6.87072
    1  115    2556.00000    1951.49963    1075.60925     694.16602     489.94022     339.22284     238.08667     169.58023     122.10590      84.23409      57.67630      40.57031    29.88494    20.56624    13.54645     8.62020     5.35695     1.70073    -2.04003    -5.29952    -7.83316    -9.91957   -11.91921   -13.57068   -14.21494   -13.62874   -11.83600    -7.02786    -1.30829     3.56537     8.09135     9.19397
    2    3    2556.00000    2330.76611    1774.59949    1146.49548     653.08600     350.60373     190.35292     108.37216      66.52406      46.31052      36.57146      30.30916    24.16704    17.49946    11.65215     8.16443     6.68692     5.44735     3.39597     0.73734    -2.22302    -5.60314    -9.38620   -12.95616   -15.22124   -15.16747   -12.57253    -8.19733    -3.08716     2.11093     6.83310     9.94666
