    1   17    1.21870    1.01382   -0.00034   -0.00034    0.48704    0.99999    1.21449    1.02107   -0.01734   -0.01734    0.48112    0.98478    0.58428    0.33415   -0.25852    0.22798   -0.97055   -0.84406    0.13620   -0.99854   -0.03689
    1   69    1.21870    1.01382   -0.00034   -0.00034    0.48704    0.99999    1.20833    1.00888    0.01094    0.01094    0.47703    0.99387    1.45375    0.33841    0.12897   -0.28787   -0.96744   -0.89742    0.04334   -0.47754   -0.01170
    1  300    1.21870    1.01382   -0.00034   -0.00034    0.48704    0.99999    1.21971    1.02244    0.02558    0.02558    0.47993    0.96676    1.70869    0.61542   -0.21152   -0.42094   -0.81928   -0.46852   -0.01546   -0.44975    0.00370
    1  519    1.21870    1.01382   -0.00034   -0.00034    0.48704    0.99999    1.20839    1.01053    0.01923    0.01923    0.47691    0.98118    0.51463    0.34835   -0.47036   -0.23298   -0.99275   -0.96334   -0.16198    0.52914    0.04472
    1  576    1.21870    1.01382   -0.00034   -0.00034    0.48704    0.99999    1.22175    1.01955   -0.01702   -0.01702    0.48135    0.98518    0.59436    0.34551    0.28525    0.24302   -0.99930   -0.99939   -0.24919    0.99993    0.06996
    1  848    1.21870    1.01382   -0.00034   -0.00034    0.48704    0.99999    1.21665    1.01887   -0.00707   -0.00707    0.47950    0.99743    1.54783    0.40488    0.41204    0.08019    0.95293    0.90890   -0.04240   -0.41150   -0.01127
    1 1161    1.21870    1.01382   -0.00034   -0.00034    0.48704    0.99999    1.21928    1.01630   -0.01299   -0.01299    0.48228    0.99140    0.49437    0.35759    0.48972    0.16040   -0.99123   -0.95846   -0.15415    0.51020    0.04339
    1 1202    1.21870    1.01382   -0.00034   -0.00034    0.48704    0.99999    1.22093    1.01036   -0.02798   -0.02798    0.47011    0.95863    1.60602    0.55305    0.19367    0.14980   -0.99081   -0.99852   -0.23512    0.93368    0.06504
    1 1299    1.21870    1.01382   -0.00034   -0.00034    0.48704    0.99999    1.21783    1.02010    0.02206    0.02206    0.48579    0.97581    0.49223    0.35465    0.19634    0.45958   -0.99933   -0.95972   -0.18024    0.59754    0.05091
    1 1379    1.21870    1.01382   -0.00034   -0.00034    0.48704    0.99999    1.22340    1.01535    0.00758    0.00758    0.48582    0.99709    1.78355    0.65334   -0.34288   -0.36895   -0.99836   -0.99841   -0.24743    0.99823    0.07044
    1 1454    1.21870    1.01382   -0.00034   -0.00034    0.48704    0.99999    1.23095    1.01682    0.00687    0.00687    0.47989    0.99752    1.55151    0.36462   -0.08163   -0.18159   -0.99530   -0.99450   -0.25032    0.99261    0.07058
    1 1596    1.21870    1.01382   -0.00034   -0.00034    0.48704    0.99999    1.22509    1.01877    0.02008    0.02008    0.46613    0.97795    1.54811    0.58854   -1.02874   -0.22805    0.79323    0.51769    0.03410   -0.23273    0.00815
    1 1733    1.21870    1.01382   -0.00034   -0.00034    0.48704    0.99999    1.21689    1.01886   -0.00539   -0.00539    0.49049    0.99857    1.29015    0.54056    0.59864   -0.57813   -0.04807   -0.22771    0.01320    0.56366   -0.00033
    1 1801    1.21870    1.01382   -0.00034   -0.00034    0.48704    0.99999    1.21383    1.01594   -0.01168   -0.01168    0.47935    0.99302    1.51800    0.38827   -0.60251    0.47433   -0.74503   -0.78259   -0.22349    0.74812    0.06207
    1 1848    1.21870    1.01382   -0.00034   -0.00034    0.48704    0.99999    1.21880    1.01657    0.00714    0.00714    0.48189    0.99739    0.49472    0.33737   -0.19304   -0.47632   -0.98807   -0.97305   -0.15193    0.50305    0.04263
    1 1859    1.21870    1.01382   -0.00034   -0.00034    0.48704    0.99999    1.22435    1.02130   -0.00780   -0.00780    0.48704    0.99693    1.46966    0.40318   -0.71156    0.08062   -0.81878   -0.53698    0.00038   -0.36993   -0.00010
    1 2105    1.21870    1.01382   -0.00034   -0.00034    0.48704    0.99999    1.21579    1.00561    0.01786    0.01786    0.47414    0.98336    1.60456    0.50041   -0.32880    0.70032    0.76454    0.79686    0.23161    0.76834    0.06434
    2    8    1.22088    1.01613    0.01024    0.01024    0.48315    0.99465    1.20780    1.00046   -0.01157   -0.01157    0.47298    0.99303    1.00625    0.35845   -0.37325    0.32273   -0.30264    0.40489   -0.17870   -0.78643    0.01506
    2  169    1.22088    1.01613    0.01024    0.01024    0.48315    0.99465    1.20071    1.01914   -0.01424   -0.01424    0.49386    0.99046    0.52897    0.36125   -0.22945   -0.47130   -0.98257   -0.98332   -0.17164    0.63565    0.04782
    2  215    1.22088    1.01613    0.01024    0.01024    0.48315    0.99465    1.22075    1.00714   -0.02397   -0.02397    0.46319    0.96849    0.62298    0.35440    0.22702    0.27741   -0.99546   -0.99736   -0.25828    0.98275    0.06996
    2  284    1.22088    1.01613    0.01024    0.01024    0.48315    0.99465    1.22300    1.01668    0.00524    0.00524    0.48111    0.99858    0.47926    0.33624   -0.42681    0.24187   -0.98512   -0.82160    0.07344   -0.77857   -0.02023
    2  402    1.22088    1.01613    0.01024    0.01024    0.48315    0.99465    1.23066    1.01911    0.01065    0.01065    0.47885    0.99400    0.62880    0.37734   -0.12361    0.34509    0.98947    0.79824   -0.09696   -0.92111   -0.02690
    2  543    1.22088    1.01613    0.01024    0.01024    0.48315    0.99465    1.20256    1.00798   -0.00856   -0.00856    0.48295    0.99637    1.47352    0.44760    0.17148    0.11198   -0.56470   -0.59263    0.02504    0.20169   -0.00422
