    1   17   -0.53192    0.20632    0.04951    2.79404    0.34482    3.08160
    1   69   -0.51378    0.14671    1.27501    2.86542    0.94861    2.23769
    1  300    0.47790    0.24687    1.69611    2.21634    1.31059    1.90642
    1  519    0.12423    0.44916    0.10444    2.95451    2.19783    0.96115
    1  576   -0.57745    0.23547    0.04791    3.07453    2.94918    0.19548
    1  848   -0.04037    0.40936    1.49881    0.30314    2.20419    2.23003
    1 1161   -0.13527    0.49153    0.05269    2.99352    2.19182    0.96192
    1 1202    0.38373    0.12924    1.49199    3.07270    2.95865    0.19544
    1 1299    0.36218    0.24205    0.24779    2.91243    2.31611    0.86039
    1 1379    0.65584    0.30719    1.54884    3.07344    3.05785    0.05440
    1 1454    0.12263    0.10136    1.47360    3.04562    3.00577    0.10194
    1 1596    0.32626    1.02942    1.09588    0.88686    1.86531    1.81063
    1 1733    0.16204    0.65003    1.16168    1.74409    1.76114    1.00341
    1 1801    0.40801    0.64268    1.39065    2.42964    2.85806    0.76924
    1 1848   -0.43041    0.22434    0.09857    3.05904    2.40663    0.73981
    1 1859   -0.09665    0.70314    1.36311    2.28310    1.29537    1.82798
    1 2105   -0.03295    0.27891    1.58069    0.63379    0.32865    0.71209
    2    8   -0.03865    0.35252    0.89149    1.35268    1.69029    2.48450
    2  169    0.47832    0.20839    0.24121    3.07237    2.39582    0.74393
    2  215    0.55618    0.23943    0.17463    3.06013    3.10690    0.07754
    2  284   -0.13071    0.43637    0.22413    2.76048    0.78874    2.45777
    2  402   -0.56339    0.13456    0.19350    0.44054    2.50002    2.66963
    2  543   -0.80045    0.12056    1.15850    2.20780    1.28345    1.47072
    2  711   -0.51206    0.67651    1.17243    0.90398    1.85560    1.48267
    2  850    0.21914    0.30634    1.54183    0.50486    2.52978    2.62425
    2  932   -0.53289    0.33485    1.55251    0.94794    0.43774    0.84068
    2 1319   -0.47977    0.07701    1.64877    2.81345    0.62648    2.52888
    2 1650    0.26704    0.28765    0.37277    2.90456    2.42875    0.74148
    2 1691   -0.22403    0.48448    0.13931    2.95789    2.32919    0.82919
    2 1802   -0.11103    0.70282    1.48114    1.11251    2.39925    2.26032
    2 1865   -0.94790    0.64101    0.94225    1.09911    2.37379    2.25752
    3   43    0.50004    0.71205    0.00294    1.70755    2.69730    1.38249
    3   83   -0.21660    1.00327    0.01365    1.43722    0.38465    1.42287
    3  230   -0.10523    1.00089    0.85495    1.58803    2.17922    1.56952
    3  242   -0.21164    0.86593    0.41685    1.77917    2.65027    1.31572
    3  603   -0.04861    1.11931    0.65460    1.83429    1.51398    1.42333
    3  626    0.30560    0.54318    0.93377    1.62681    2.77496    1.49859
    3  756   -0.53292    1.03586    0.79651    1.65416    2.30775    1.51065
    3  757    0.17232    0.98600    0.11438    1.53283    1.38972    1.77619
    3  888    0.58130    0.88340    0.16136    1.24198    1.51348    1.48227
    3 1004   -0.10597    0.81178    0.88857    1.73340    1.76984    1.83195
    3 1155    0.66030    0.73300    0.04124    1.32458    1.31778    1.30296
    3 1218   -0.76994    0.75523    0.56762    1.55633    0.74617    1.57908
    3 1312    0.75393    0.54835    0.51861    1.53127    0.57926    1.69281
    3 1356   -0.32749    0.98979    0.25774    1.68438    2.48865    1.48360
    3 1440    0.19320    0.86151    1.24174    1.24057    1.41216    1.46893
    3 1505   -0.55137    0.61568    0.46178    1.72637    2.68470    1.45504
    3 1533    0.11067    0.96337    0.26670    1.84485    0.76651    1.63183
    3 1574    0.37888    0.84989    0.70325    1.30852    1.18979    1.54761
    3 1594    0.12827    0.94470    0.36521    1.65689    3.03448    1.49041
    3 1727   -0.51701    0.79290    0.99131    1.24799    1.58005    1.35204
    3 1753   -0.01994    0.72382    0.88327    1.57871    2.20525    1.82175
    3 1798    0.45602    0.67174    0.96388    1.47776    1.65407    1.89577
    3 1993    0.31343    0.18525    0.73070    2.42346    0.84611    2.68278
    3 2002    0.31351    0.86010    0.46167    1.84857    1.73950    1.24210
    3 2061   -0.62141    0.99966    0.02020    1.59276    0.96045    1.67561
    3 2076   -0.44807    0.61474    0.93132    1.86689    1.89770    1.30822
    3 2120   -0.36662    1.00116    0.45243    1.27587    1.48405    1.37065
    4   28   -0.10159    0.44348    0.14074    0.27439    2.28873    2.33932
    4  313   -0.42527    0.15655    1.47908    2.91554    0.52844    2.63370
    4  489   -0.88605    0.29440    1.46509    2.82067    0.58910    2.64427
    4  499   -0.29029    0.23597    1.48030    2.70368    0.67108    2.62309
    4  715    0.17527    0.11204    1.42269    2.86919    0.40608    2.69008
    4  793    0.84042    0.46222    0.18234    0.23343    2.90573    3.03828
    4  825    0.30170    0.20593    1.53627    0.17806    0.56467    0.59250
    4  985    0.00930    0.16851    1.54372    2.73458    0.65388    2.63698
    4 1029    0.25975    0.31713    0.11514    0.21452    2.77049    2.82481
    4 1038    0.09663    0.24504    1.39388    0.42247    2.55485    2.55827
    4 1159    0.62736    0.13674    1.57522    3.08171    2.79878    0.33771
    4 1573    0.50338    0.21405    0.01111    3.06431    3.06002    0.09928
    4 1873   -0.39865    0.24644    0.01601    0.37313    2.32314    2.41266
    4 1998    0.44967    0.18725    0.01313    3.05472    2.26110    0.88215
    5  162   -0.56551    0.16768    0.18980    0.20207    0.24547    0.31832
    5  338   -0.00601    0.06194    1.49989    0.16839    0.70247    0.68320
    5  360    0.54320    0.17804    0.06657    0.34462    2.71318    2.87477
    5  376   -0.78479    0.76325    1.03591    1.22699    1.56754    0.84181
    5  474   -0.29797    0.31378    0.33260    0.43944    2.32094    2.45191
    5  505   -0.20248    0.51604    0.05045    0.12497    0.93134    0.92959
    5  625   -0.37152    0.28630    0.03624    2.67824    0.74203    2.55693
    5  627    0.24296    0.45882    0.19556    2.71631    0.81407    2.45071
    5  662   -0.29280    0.31169    1.62039    2.67579    0.52702    2.73523
    5  776    0.66739    0.27117    1.15498    1.34130    1.73561    2.66212
    5  899    0.27441    0.35905    1.44103    0.57224    2.46768    2.68194
    5  951   -0.26270    0.14488    1.78815    0.46600    2.61165    2.86788
    5 1073   -0.60665    0.00600    1.39631    2.57523    0.69581    2.67433
    5 1461    0.36502    0.20726    1.53189    0.55516    2.57605    3.00021
    5 1591   -1.21620    0.06367    0.90039    1.39902    1.99268    2.42858
    5 1750    0.83165    0.36980    1.24062    0.33862    0.34386    0.45207
    5 2069   -0.88052    0.11498    1.53902    0.52414    2.52803    2.78256
    6  138    0.17515    0.11569    1.64609    2.98164    1.24562    1.90938
