    1    2    0.39805    0.24912    0.10564    0.11364    0.85291    0.85895
    1    3    0.55111    0.25534    0.05558    0.09382    0.18217    0.15989
    1    7   -0.59772    0.25232    0.04964    0.06832    0.10036    0.08025
    1    8   -0.18608    0.50169    0.17979    0.15438    0.85205    0.86073
    1   26    0.14791    0.44319    0.17179    0.13833    0.82902    0.83052
    1   32   -0.42870    0.20516    0.07900    0.17569    0.93552    0.93894
    1   33    0.46769    0.55112    1.32743    0.03799    0.03396    0.04712
    1   34    0.06131    0.31854    1.39034    0.08917    0.71885    0.72032
    1   40    0.64423    0.06361    1.45081    0.03848    0.76440    0.76546
    1   41   -0.22310    0.12880    1.51202    0.03656    0.10745    0.11188
    1   43   -0.36488    0.10895    1.44579    0.01967    0.06919    0.07093
    1  113    0.11509    0.10877    1.45000    0.05928    0.06307    0.04705
    1  114   -0.29964    0.33846    1.33763    0.15906    0.72374    0.72206
    1  115    0.48565    0.13179    1.51450    0.07251    0.07703    0.04180
    1  116   -0.87716    0.09480    1.41360    0.22170    0.96527    0.98451
    1  120    0.26242    0.57642    1.26427    0.16466    0.87407    0.88560
    2    3    0.48125    0.23322    0.13382    0.06076    0.69856    0.69930
    2    4   -0.57513    0.24379    0.13730    0.08265    0.07306    0.10224
    2    8    0.57475    0.26390    0.10253    0.04280    0.01427    0.04055
    2    9   -0.44418    0.20740    0.13218    0.10814    0.81739    0.82527
    2   11    0.12933    0.45202    0.04746    0.12382    0.85971    0.86972
    2   41    0.32332    0.38423    1.45809    0.10398    0.74660    0.74849
    2   42   -0.22243    0.08587    1.52539    0.03480    0.03930    0.05224
    2   43   -0.24277    0.10686    1.36196    0.09535    0.78424    0.78845
    2   44    0.34057    0.37637    1.43468    0.04510    0.09048    0.09666
    2   48    0.76496    0.14825    1.56228    0.07742    0.12134    0.13383
    2  114   -0.12653    0.17888    1.43273    0.06682    0.15223    0.14440
    2  116   -0.43718    0.08569    1.53720    0.10909    0.11258    0.15604
    2  123    0.02070    0.28632    1.38383    0.14586    0.98032    0.98837
    2  125   -0.54498    0.54121    1.49387    0.07773    0.74672    0.74923
    3    4    0.37847    0.30507    0.00725    0.11050    0.76622    0.77464
