   1 2     109.87457   -120.48134   -110.58180    155.47562
   1 3     -68.43859     50.69490     87.99815    -81.62271
   1 7      55.62538    -43.85484     71.67312    -70.77603
   1 8     -61.28179     -3.39739    -11.87067   -105.18125
   1 26     -89.82094     51.33857     77.44001   -109.00749
   1 31      -0.00239      0.00502      0.01397     -0.02704
   1 32      89.16842    121.01826    146.12791    127.36752
   1 34      -0.22219      7.76074      8.43947      5.36502
   1 40       1.29432      1.18479     -0.87041     -2.02221
   1 41      -7.29831     -0.50772     -1.87440     -4.10976
   1 43      -0.16735     -0.09341      0.64959     -0.35401
   1 113      -1.60045      6.50311      7.81561     -7.45896
   1 114      10.30262      2.60097     -2.78475     12.39355
   1 115      -1.52586     -0.97142     -1.74140     -1.84355
   1 116      -0.08996      0.03684      0.02389     -0.03040
   2 3     -61.15863     37.67181     60.31652    -58.74230
   2 4     -58.96231     57.78512     85.60712    -83.24065
   2 8     -23.87729    -12.15043    -34.15754    -14.22558
   2 9      68.78052     21.38420     66.73146     45.93718
   2 11     101.24563    -98.71197   -102.34787    138.34847
   2 34      -0.01262      0.73346      1.09079      0.89037
   2 41      -1.46671     -0.63051      2.11871      0.93316
   2 42      14.13347      4.41358      5.15206     -4.36530
   2 43      -2.38323      2.30950      5.35496     -0.16116
   2 44      -0.03810      0.06265      0.05824     -0.02156
   2 48       0.03346      0.02037     -0.01880      0.04904
   2 114       1.50841     -4.85027     -8.25493      6.53220
   2 116      -2.83496      0.47003     -2.53051     -1.82180
   2 123     -16.67833     -0.72646     22.56213     -5.78196
   2 125       0.20501     -0.02701      0.36414     -0.07333
   3 4      97.07709   -118.39684   -107.25869    112.21255
   3 5      82.19109    -67.39589   -101.71708    121.81398
   3 25       0.09763     -0.05904      0.16712     -0.07623
   3 26     128.28530   -151.10392    136.45006   -212.53350
   3 28    -130.06660     70.05519    108.84926   -198.61168
   3 34       2.68387      0.61564     -1.64196     -2.07349
   3 36      -0.87137      3.52965     -0.50324     -0.40723
   3 43     -10.23164     -0.00558     -5.19805     -2.14382
   3 45       0.04165      0.01258     -0.08514      0.04356
   3 114      -0.02345     -0.04683      0.08573      0.00762
   3 115       0.61377     -7.43551     -9.24030     11.30141
   3 116      14.90523     -0.93316      1.54964    -29.17589
   3 117     -12.15754     -2.76348     -3.83658      4.17738
   3 118      -0.04503     -0.03465     -0.08676      0.03758
   4 5     117.52114   -108.12701   -159.04359    165.24996
