   1 2      84.66160    -63.72303    -90.69242     60.62765
   1 3     -91.42669    -69.75076    120.14507    119.85552
   1 7      56.86111     39.45764     70.40142     75.00564
   1 8     -98.65962     56.14951    -88.30401    146.27416
   1 26      82.00479     87.95204   -125.70662   -134.44118
   1 32     118.80133   -149.28921    131.32936   -185.12057
   1 34      -1.13022      0.78714    -13.37783    -10.23257
   1 40       0.63953     -1.79174     -3.33494      5.59999
   1 41      -4.40234     -0.17587      4.69935      2.12240
   1 43       0.18649     -0.08405     -0.25980     -0.23098
   1 113      -0.08675      0.73091      0.63587      1.54439
   1 114     -19.65634     13.61833     -4.27728     34.60614
   1 115      -6.31338     -0.13617     -1.90730      4.86360
   1 116      -0.02630     -0.00079      0.02938      0.01344
   2 3     -80.73629    -53.76840    100.16417    106.98439
   2 4     -44.85564     32.16139     45.75364    -65.55918
   2 8    -112.46931    125.49937   -162.72074    190.18781
   2 9     137.86404    132.57545    169.46598    216.66546
   2 11      84.98313    -91.94399   -119.04969    115.61209
   2 34      -0.85295      3.92782      2.55801      2.79461
   2 41       5.21585     -1.30820      3.55389     -6.58453
   2 42      14.86991     -3.64637      5.36226      8.75362
   2 43       0.72411      2.76445     -8.92803     -0.32935
   2 48      -0.03504     -0.01735      0.01883      0.00520
   2 114       3.86521     -9.70782      1.89607     12.38559
   2 116      -6.50263     -0.15300     -2.75032      3.57695
   2 121       0.02082      0.10618      0.02624      0.20257
   2 123       8.10176     -9.36369    -30.11537     17.57041
   2 125      -0.10391     -0.00082     -0.04328      0.06196
   3 4      80.96811    100.63186     91.63142    132.44942
   3 5     -40.41282     33.89932    -50.78317     54.39926
   3 26     -72.21950     73.20740     37.89778    -71.02392
   3 28     -72.30537    -48.92068    -55.87360    -76.81475
   3 34       1.84903     -7.33499     -2.36661    -15.08927
   3 36      -3.46837      4.79012     -2.53995      2.52132
   3 43       6.33425     -1.38236      0.03365      3.30754
   3 45      -0.13626      0.23370     -0.68130     -0.25733
   3 114      -0.03914     -0.09894     -0.01096     -0.02204
   3 115      -3.35354      1.10304      7.49075      0.18134
   3 116       9.78962     -1.18772      3.57501     17.00229
   3 117      -5.81773     -0.03113      3.44699      1.86356
   4 5    -126.41637   -104.06334    184.36868    175.09528
