   1 2      94.67205     45.89286     85.05017     22.14196
   1 3     -63.20367     46.94883    -74.17709     88.56689
   1 7     -49.28495    -40.84243     60.77510     66.66827
   1 8     -74.29176    -81.31723    102.86588     99.98467
   1 11       0.02671     -0.02626      0.03769     -0.04928
   1 26     -61.80443      1.44034    -25.55718    -60.32813
   1 32     108.58079     91.92957   -150.21584   -110.93061
   1 34       2.12218    -14.63566    -13.20120      8.37032
   1 40       6.70173      0.15673      5.29410     -3.58323
   1 41       6.90996      0.70826      2.21853      2.83308
   1 43       0.04283      0.01509      0.27088     -0.02845
   1 113      -0.74267     -3.36282      0.82261     -6.80810
   1 114      -3.00527      1.30589      5.37165     35.11353
   1 115       1.50574     -1.01966     -1.83532      4.40350
   1 116       0.18004      0.05466     -0.06119     -0.22922
   1 120       0.02380     -0.04554      0.12236      0.05033
   2 3     -57.80068    -19.13813     70.98842     52.78783
   2 4     -59.37127     40.77501     64.54521    -81.84001
   2 8     -76.14052    119.21059   -138.91165    150.61210
   2 9     -86.73948    -74.51076   -116.65730   -137.60245
   2 11     113.52635     97.46888    -94.22165   -152.01858
   2 34       0.22737      0.62922      0.88788      0.47187
   2 41      -0.33517      1.26505     -3.54723      0.04699
   2 42      11.31931     -1.58736      7.74417     -0.62455
   2 43      -0.10134      0.45383     -3.64201     -0.47315
   2 48      -0.02670      0.00712      0.02583      0.01190
   2 114      -3.40197     -3.02333     -1.56982     -3.44127
   2 116      -5.24827     -1.09610     -3.97995      3.74955
   2 123      15.82548      6.21222    -31.42617    -14.96249
   2 125      -0.50018     -0.16664     -0.27854     -0.15010
   3 4     115.62151    102.48774    141.48116    125.45620
   3 5     -25.23157      7.27958    -20.47350     26.80953
   3 26      88.27262    100.35813   -102.97013   -108.72526
   3 28     -93.70686    -65.01776   -120.19618   -124.51682
   3 34       2.08636     -1.88191      1.60777     -4.29196
   3 36       0.08722    -10.68247    -13.48000     -0.45916
   3 43      -4.94158      1.62351      0.74458      1.41532
   3 45       0.22334      0.56880      0.10001      0.02136
   3 115       1.23277     -9.03046      8.96889    -10.92417
   3 116      10.94224     -0.13506      3.86906     31.14113
   3 117      -7.57051      2.65847      1.11144      0.66152
   3 118       0.07706      0.08361     -0.09969     -0.11951
   4 5     -53.94966    -20.04822     34.15808     84.10556
   4 6     -53.06127     30.36402     69.56639    -51.61143
   4 11     -91.57833    -58.87968    -97.41166   -154.74112
   4 13     101.84687    -90.92314   -100.26304    128.79879
   4 42      -0.29070      0.10886      0.11163      0.23825
   4 43       2.75462     -1.25864     -2.38938      2.45834
   4 44      10.22118     -0.85181      5.85716     -2.22846
   4 45      -1.50046      4.98717     -5.15797     -0.67773
   4 116       1.73421     -9.32455     -2.90036      5.62902
   4 118      -0.82244     -1.32700      0.01040     -0.44377
   4 123       0.02519      0.13220      0.03649      0.18812
   4 125      12.50082     -3.01597    -25.28303      7.93127
   4 127       0.20361      0.12870      0.16192      0.27757
   5 6     125.19078     79.68256    138.33153     82.00210
   5 7     -18.35638      1.84203     -9.79305    -11.22978
   5 28      88.53726     72.79565   -105.40560    -91.03733
   5 30     -38.19804      3.50216    -11.12518    -21.15590
   5 36       3.54870     -1.91431      1.76381     -5.02574
   5 38      -0.97453     -9.97366     -7.81091      3.34370
   5 45      10.54998      3.87683     -8.55858      7.04841
   5 47       0.00311     -0.00925     -0.49233      0.21352
   5 116       0.02980      0.06213     -0.00324     -0.07874
   5 117      -0.64835     -3.48962      1.25683     -6.00668
   5 118       8.62511      2.03449      8.09004     26.38814
   5 119      -3.13315      0.12441      3.46963      3.23834
   5 120       0.12963     -0.25276     -0.15523      0.25443
   6 7     -46.00160     10.16306     32.25518    -38.48320
   6 8     -65.08889     56.03650     92.92219    -87.26853
   6 13     -62.44799     11.39314   -108.70444     50.99974
   6 15     119.04181    154.44470   -156.81403   -158.69997
   6 44      -0.11733      0.00858      0.17562     -0.09106
   6 45       5.82546      3.96982     -7.30750     -5.06357
   6 46     -10.34120     -0.77318     -6.71115      8.16608
